송광사IC	fnSelectNode('N025I030','송광사IC','1');
송내IC	fnSelectNode('N100I080','송내IC','1');
송도IC	fnSelectNode('N110I025','송도IC','1');
송산마도IC	fnSelectNode('N153I020','송산마도IC','1');
송악IC	fnSelectNode('N015I260','송악IC','1');
송추IC	fnSelectNode('N100I340','송추IC','1');
송탄IC	fnSelectNode('N040I030','송탄IC','1');
송파IC	fnSelectNode('N100I210','송파IC','1');
수성IC	fnSelectNode('N55AI070','수성IC','1');
수원신갈IC	fnSelectNode('N001I440','수원신갈IC','1');
순창IC	fnSelectNode('N012I030','순창IC','1');
순천IC	fnSelectNode('N025I005','순천IC','1');
순천만IC	fnSelectNode('N10AI070','순천만IC','1');
승주IC	fnSelectNode('N025I020','승주IC','1');
시흥IC	fnSelectNode('N100I100','시흥IC','1');
시흥TG	fnSelectNode('N100T110','시흥TG','1');
신공항TG	fnSelectNode('N130T040','신공항TG','1');
신녕IC	fnSelectNode('N301I040','신녕IC','1');
신림IC	fnSelectNode('N055I190','신림IC','1');
신불IC	fnSelectNode('N130I000','신불IC','1');
신양IC	fnSelectNode('N030I040','신양IC','1');
신월IC	fnSelectNode('N120I080','신월IC','1');
신천IC	fnSelectNode('N110I070','신천IC','1');
신탄진IC	fnSelectNode('N001I290','신탄진IC','1');
안녕IC	fnSelectNode('N171I010','안녕IC','1');
안산IC	fnSelectNode('N050I050','안산IC','1');
안성IC	fnSelectNode('N001I380','안성IC','1');
안영IC	fnSelectNode('N300I020','안영IC','1');
양산IC	fnSelectNode('N001I040','양산IC','1');
양양IC	fnSelectNode('N065I090','양양IC','1');
양재IC	fnSelectNode('N001I490','양재IC','1');
양주TG	fnSelectNode('N100T350','양주TG','1');
양지IC	fnSelectNode('N050I150','양지IC','1');
양촌하이패스IC	fnSelectNode('N251I015','양촌하이패스IC','1');
양평IC	fnSelectNode('N045I280','양평IC','1');
어연IC	fnSelectNode('N017I020','어연IC','1');
여수대로IC	fnSelectNode('N11AI150','여수대로IC','1');
여주IC	fnSelectNode('N050I200','여주IC','1');
연무IC	fnSelectNode('N025I310','연무IC','1');
연풍IC	fnSelectNode('N045I190','연풍IC','1');
연화산IC	fnSelectNode('N351I040','연화산IC','1');
영광IC	fnSelectNode('N015I060','영광IC','1');
영덕IC	fnSelectNode('N30AI130','영덕IC','1');
